movie,chapter,character,,dialog
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Parvati Patil,Harry Potter,Hi Harry.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Padma Patil,Harry Potter,Hi Harry.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Parvati Patil,Hey!
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,Bloody hell.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,What are those??
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Ron Weasley,My dress robes.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,"Well they're alright. No lace, no dodgy little collar."
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Ron Weasley,Well I expect yours are more traditional.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,Traditional?? They're ancient! I look like my great aunt Tessie.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,I smell like my great aunt Tessie. Murder me Harry.
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Ron Weasley,Leave it alone.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,"Poor kid, bet she's alone in her room crying her eyes out."
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Ron Weasley,Who?
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?"
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Ron Weasley,Because we'd take the mickey out of her if she did.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Harry Potter,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.
Harry Potter and the Gobelt of Fire,The Yule Ball,Parvati Patil,"Harry Potter, Ron Weasley",Hello boys. Don't you look...
Harry Potter and the Gobelt of Fire,The Yule Ball,Parvati Patil,"Harry Potter, Ron Weasley",... dashing.
Harry Potter and the Gobelt of Fire,The Yule Ball,Minerva McGonagall,Harry Potter,Here you are Potter. Are you and Miss Patil ready?
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Minerva McGonagall,Ready professor?
Harry Potter and the Gobelt of Fire,The Yule Ball,Minerva McGonagall,Harry Potter,To dance. It's traditional that the three champions or in this case four are the first to dance. Surely I told you that.
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Minerva McGonagall,No.
Harry Potter and the Gobelt of Fire,The Yule Ball,Minerva McGonagall,"Harry Potter, Ron Weasley","Oh well now you know. Oh, as for your Mr Weasly you may proceed into the great hall with Miss Patil."
Harry Potter and the Gobelt of Fire,The Yule Ball,Parvati Patil,Harry Potter,She looks beautiful.
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Parvati Patil,Yeah she does.
Harry Potter and the Gobelt of Fire,The Yule Ball,Padma Patil,Ron Weasley,Is that Hermione Granger? With Viktor Krum??
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Padma Patil,No. Absolutely not.
Harry Potter and the Gobelt of Fire,The Yule Ball,Parvati Patil,Harry Potter,Harry. Take my waist.
Harry Potter and the Gobelt of Fire,The Yule Ball,Harry Potter,Parvati Patil,What?
Harry Potter and the Gobelt of Fire,The Yule Ball,Parvati Patil,Harry Potter,Now.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,Hot isn't it? Viktor's gone to get drinks. Care to join us?
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,"No, we'd NOT care to join you and Viktor."
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,What's got your wand in a knot?
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,He's a Durmstrang. You're fraternising with the enemy.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,"The enemy?? Who was it wanting his autograph? Besides, the whole point of the tournament is international magical cooperation, to make friends."
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,"Hrmph, I think he's got a bit more than friendship on his mind."
Harry Potter and the Gobelt of Fire,The Yule Ball,Padma Patil,Ron Weasley,Are you going to ask me to dance or not?
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Padma Patil,No.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,He's using you.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,How dare you! Besides I can take care of myself.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,Doubt it. He's way too old.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,What? What? That's what you think?
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,Yeah that is what I think.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,You know the solution then don't you.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,Go on.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,"Next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort."
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,Well that's completely off the point. Harry...
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,"Harry Potter, Ron Weasley",Where have you been? Nevermind! Off to bed both of you.
Harry Potter and the Gobelt of Fire,The Yule Ball,Ron Weasley,Hermione Granger,They get scary when they get older.
Harry Potter and the Gobelt of Fire,The Yule Ball,Hermione Granger,Ron Weasley,Ron you spoil everything!
Harry Potter and the Gobelt of Fire,The Yule Ball,Voldermort,Wormtail,Let me see it again.
Harry Potter and the Gobelt of Fire,The Yule Ball,Voldemort,Wormtail,"Ah yes, the time is close now. Harry! At last! Step aside Wormtail so I can give our guest a proper greeting!"
Harry Potter and the Gobelt of Fire,The Yule Ball,Neville Longbottom,Harry Potter,You alright Harry? I just got in. Me!
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,Harry you told me you'd figured the egg out weeks ago. The task is two days from now.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Hermione Granger,Really? I had no idea. I suppose Viktor's already figured it out.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"I wouldn't know, we didn't actually talk about the tournament. Actually we didn't really talk at all, Viktor's more of a physical being. I just mean he's not particularly... Mostly he watches me study. It's a bit annoying actually. You are trying to figure this egg out aren't you?"
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Hermione Granger,What's that supposed to mean?
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"I mean these tasks are supposed to test you, in the most brutal way they're almost cruel. And um, I'm scared for you. You got by the dragon mostly on nerve, I'm not sure it's going to be enough this time."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Cedric Diggory,Harry Potter,Hey Potter.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Cedric Diggory,Cedric.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Cedric Diggory,Harry Potter,How are you?
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Cedric Diggory,Spectacular.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Cedric Diggory,Harry Potter,Look I realise I never really thanked you properly for tipping me off about those dragons.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Cedric Diggory,Forget about it. I'm sure you would have done the same for me.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Cedric Diggory,Harry Potter,Exactly. You know the prefects bathroom on the fifth floor?
Harry Potter and the Gobelt of Fire,The Egg's Clue,Cedric Diggory,Harry Potter,It's not a bad place for a bath. Just take your egg and mull things over in the hot water.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Cedric Diggory,I must be out of my mind.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,I'd try putting it in the water if I were you.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Moaning Myrtle,Myrtle!
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,Long time no see.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,I was circling a blocked drain the other day and could swear I saw a bit of polyjuice potion. Not being a bad boy again are you Harry?
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Moaning Myrtle,"Polyjuice potion! Kicked the habit. Myrtle, did you say try putting it in the water?"
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,"Well. That's what he did. The other boy, the handsome one. Cedric."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,"Well go on, open it."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Merpeople,Harry Potter,"Come seek us where our voices sound. We cannot sing above the ground. An hour long you'll have to look, to recover what we took."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Moaning Myrtle,"Myrtle, there aren't Merpeople in the black lake are there?"
Harry Potter and the Gobelt of Fire,The Egg's Clue,Moaning Myrtle,Harry Potter,"Ahhh, very good. Took Cedric ages to riddle it out. Almost all the bubbles were gone..."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"Harry, tell me again."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Hermione Granger,Come seek us where our voices sound.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"The black lake, that's obvious."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Hermione Granger,An hour long you'll have to look.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"Again obvious, though I must admit potentially problematic"
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Hermione Granger,Potentially problematic? When was the last time you held your breath under the water for an hour Hermione?
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Harry Potter,"Look Harry, we can do this. The three of us can figure it out."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Alastor Moody,Hermione Granger,"Hate to break up this scholar session but Professor McGonagall would like to see you in her office. Not you Potter, just Weasly and Granger."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Hermione Granger,Alastor Moody,"But sir, the second task is only hours away and..."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Alastor Moody,Hermione Granger,Exactly. Presumably Potter is well prepared by now and could do with a good night's sleep. Go. Now! Longbottom!
Harry Potter and the Gobelt of Fire,The Egg's Clue,Alastor Moody,Neville Longbottom,Why don't you help Potter put his books back.
Harry Potter and the Gobelt of Fire,The Egg's Clue,Neville Longbottom,Harry Potter,"You know, if you're interested in plants you'd be better with Gorshok's Guide to Herbology. Do you know there's a wizard in Nepal whose growing gravity resistant trees?"
Harry Potter and the Gobelt of Fire,The Egg's Clue,Harry Potter,Neville Longbottom,"Neville. No offense, but I really don't care about plants. Now if there's a Tibetan turnip that will allow me to breathe underwater for an hour then great."
Harry Potter and the Gobelt of Fire,The Egg's Clue,Neville Longbottom,Harry Potter,I don't know about a turnip but you can always use gilliweed.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,You're sure about this Neville.
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,Harry Potter,Absolutely.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,For an hour.
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,Harry Potter,Most likely.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,Most likely?
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,Harry Potter,Well there is some debate among herbologists as to the effects of freshwater versus saltwater.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,You're telling me this now? You must be joking.
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,Harry Potter,I just wanted to help.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,Well that makes you sight better than Ron and Hermione. Where are they anyway?
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,Harry Potter,You seem a little tense Harry.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Neville Longbottom,Do I?
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,All,"Welcome to the second task. Last night something was stolen from each of our champions. A treasure of sorts. These four treasures, one for each champion, now lie on the bottom of the black lake. In order to win each champion need only find their treasure and return to the surface. Simple enough. Except for this, they will have one hour to do so and one hour only. After that they'll be on their own."
Harry Potter and the Gobelt of Fire,The Second Task,Alastor Moody,Harry Potter,Put that in your mouth.
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,All,You may begin at the start of the cannon.
Harry Potter and the Gobelt of Fire,The Second Task,Seamus Finnigan,Dean Thomas,What's the matter with him?
Harry Potter and the Gobelt of Fire,The Second Task,Dean Thomas,Seamus Finnigan,I don't know I can't see him.
Harry Potter and the Gobelt of Fire,The Second Task,Neville Longbottom,"Dean Thomas, Seamus Finnigan",Oh my god I've killed Harry Potter!
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,All,The Beauxbatons champion Miss Delacour has unfortunately been forced to retire. She will take no further part in this task.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Merpeople,But she's my friend too!
Harry Potter and the Gobelt of Fire,The Second Task,Merpeople,Harry Potter,Only one.
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,Harry Potter,Harry!
Harry Potter and the Gobelt of Fire,The Second Task,Bartemius Crouch,,Get him another towel.
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,,I want all the judges over here now.
Harry Potter and the Gobelt of Fire,The Second Task,Fleur Delacour,Harry Potter,"You saved her, even though she wasn't yours to save. My little sister!"
Harry Potter and the Gobelt of Fire,The Second Task,Fleur Delacour,Ron Weasley,Thank you! And you... . You helped!
Harry Potter and the Gobelt of Fire,The Second Task,Ron Weasley,Fleur Delacour,Well... yeah... a bit
Harry Potter and the Gobelt of Fire,The Second Task,Ron Weasley,Fleur Delacour,Merci.
Harry Potter and the Gobelt of Fire,The Second Task,Hermione Granger,Harry Potter,Harry!
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Hermione Granger,Hermione
Harry Potter and the Gobelt of Fire,The Second Task,Hermione Granger,Harry Potter,Are you alright? You must be freezing! Personally I think you behaved admirably.
Harry Potter and the Gobelt of Fire,The Second Task,Harry Potter,Hermione Granger,I finished last Hermione.
Harry Potter and the Gobelt of Fire,The Second Task,Hermione Granger,Harry Potter,Next to last.
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,All,Attention! Attention! The winner is... Mr Diggory!
Harry Potter and the Gobelt of Fire,The Second Task,Albus Dumbledore,All,"For showing unique command of the bubblehead shark. The way I see it, Mr Potter would have finished first had it not been for his determination to rescue not only Mr Weasly but the others as well. We've agreed to award him second place! For outstanding moral fibre."
Harry Potter and the Gobelt of Fire,The Second Task,Fred Weasley,Harry Potter,All that moral fibre eh?
Harry Potter and the Gobelt of Fire,The Second Task,Ron Weasley,Harry Potter,Blimey even when you go wrong it turns out right.
Harry Potter and the Gobelt of Fire,The Second Task,George Weasley,Harry Potter,Well done 'moral fibre'.
Harry Potter and the Gobelt of Fire,Never Whole Again,Bartemius Crouch,Harry Potter,"Congratulations Potter, fine achievement. Well done boy. I'm sorry we haven't spoken, after all your story is one I've heard many times. Quite remarkable. Tragic of course, to lose one's family. Never whole again are we? Still, life goes on. And here we stand. I'm sure your parents would be very proud today Potter."
Harry Potter and the Gobelt of Fire,Never Whole Again,Alastor Moody,Bartemius Crouch,Bartimus! Not trying to lure Potter into one of the ministry's summer internships are we? Last boy who went into the department of ministries never came out!
Harry Potter and the Gobelt of Fire,Never Whole Again,Alastor Moody,Harry Potter,And they say I'm mad.
Harry Potter and the Gobelt of Fire,Never Whole Again,Rubeus Hagrid,"Harry Potter, Ron Weasley","So I remember, I remember when I first met you all. Biggest bunch of misfits I've ever set eyes on. Always reminded me of myself a little. And here we all are, four years later."
Harry Potter and the Gobelt of Fire,Never Whole Again,Ron Weasley,Ron Weasley,We're still misfits.
Harry Potter and the Gobelt of Fire,Never Whole Again,Rubeus Hagrid,Harry Potter,"Maybe. But we've all got each other, and Harry of course. Soon to be! The youngest! Tri-Wizard champion there's ever been! Hooray!"
Harry Potter and the Gobelt of Fire,Never Whole Again,Harry Potter,Bartemius Crouch,Mr Crouch?
Harry Potter and the Gobelt of Fire,The Pensieve,Albus Dumbledore,Cornelius Fudge,"A man has died here. And he won't be the last, you must take action."
Harry Potter and the Gobelt of Fire,The Pensieve,Cornelius Fudge,Albus Dumbledore,I will not. In times like these the wizard world looks to its leaders for strength Dumbledore.
Harry Potter and the Gobelt of Fire,The Pensieve,Albus Dumbledore,Cornelius Fudge,Then for once show them some.
Harry Potter and the Gobelt of Fire,The Pensieve,Cornelius Fudge,Albus Dumbledore,The tri-wizard tournament will not be cancelled. I will not be seen as a coward.
Harry Potter and the Gobelt of Fire,The Pensieve,Albus Dumbledore,Cornelius Fudge,"But surely that is what's right, no matter what others think."
Harry Potter and the Gobelt of Fire,The Pensieve,Cornelius Fudge,Albus Dumbledore,What did you say? What did you say to me?
Harry Potter and the Gobelt of Fire,The Pensieve,Alastor Moody,"Albus Dumbledore, Cornelius Fudge","Excuse me gentlemen, it may interest you to know that this conversation is no longer private."
Harry Potter and the Gobelt of Fire,The Pensieve,Cornelius Fudge,Harry Potter,Harry! Harry how good to see you again.
Harry Potter and the Gobelt of Fire,The Pensieve,Harry Potter,Albus Dumbledore,I can come back later Professor.
Harry Potter and the Gobelt of Fire,The Pensieve,Albus Dumbledore,Harry Potter,"Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp."
Harry Potter and the Gobelt of Fire,The Pensieve,Harry Potter,,Agh!
Harry Potter and the Gobelt of Fire,The Pensieve,Harry Potter,Albus Dumbledore,Professor?
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,"Igor Karkaroff, you have been brought from Azkaban at your own request to present evidence to this counsel. Should your testimony prove consequential. Counsel may be prepared to order your immediate release. Until such time you remain in the eyes of the ministry a convicted deatheater. Do you accept these terms?"
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,I do sir.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,What do you wish to present?
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,"I have names sir. There was a Rosier, Evan Rosier."
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,Mr Rosier is dead.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,Dead?
Harry Potter and the Gobelt of Fire,The Pensieve,Alastor Moody,Igor Karkaroff,Yeah took a piece of me with him though didn't he.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,I didn't know.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,If that is all the witness has to offer...
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,"No! No! There was Rookwood, he was a spy."
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,Augustus Rookwood? Of the department of ministries.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,"Ya ya, the same. He passed information to you know who from inside the ministry itself."
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,Very well. Counsel will deliberate. In the meantime you will be returned to Azkaban.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,"NO! WAIT! PLEASE! I have more. Snape, Severus Snape."
Harry Potter and the Gobelt of Fire,The Pensieve,Albus Dumbledore,All,The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,It's a lie! Severus Snape remains faithful to the dark lord.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,Silence!
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,All,Unless the witness possesses any name of genuine consequence this session is now concluded.
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,Oh no no no no no. I heard about one more.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,What's that?
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,The name...
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,Yes?
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,"I know for a fact this person took part in the capture, and by means of the cruciatus curse, torture of the aurer Frank Longbottom and..."
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Igor Karkaroff,The name! Give me the wretched name!
Harry Potter and the Gobelt of Fire,The Pensieve,Igor Karkaroff,Bartemius Crouch,Barty Crouch! ... Junior.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch Junior,,Get your hands off me you pathetic little men. Hello father.
Harry Potter and the Gobelt of Fire,The Pensieve,Bartemius Crouch,Bartemius Crouch Junior,You are no son of mine.
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Albus Dumbledore,Harry Potter,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning."
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Albus Dumbledore,"Sir, Mr Crouch's son, what happened to him?"
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Albus Dumbledore,Harry Potter,"He was sent to Azkaban. Destroyed Barty to do it. But he had no choice, the evidence was overwhelming. Why do you ask?"
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Albus Dumbledore,"It's just that I had a dream about him. It was in the summer, before school. In the dream I was in a house and Voldemort was there only he wasn't quite human, and Wormtail was there too and Mr Crouch's son."
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Albus Dumbledore,Harry Potter,Have there been other dreams like this?
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Albus Dumbledore,"Yes. Always the same one. Sir... these dreams, what I see, you don't think it's actually happening do you?"
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Albus Dumbledore,Harry Potter,"I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply..."
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Albus Dumbledore,Harry Potter,Cast them away.
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Igor Karkaroff,Severus Snape,"It's a sign Severus, you know what it means as well as I."
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Severus Snape,Harry Potter,"Potter! What's your hurry? Congratulations, your performance in the black lake was inspiring. Gilliweed, am I correct?"
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Severus Snape,Yes sir.
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Severus Snape,Harry Potter,"Ingenious. A rather rare herb gilliweed, not something found in your every day garden. Nor is this, know what it is?"
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Severus Snape,Bubble juice sir?
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Severus Snape,Harry Potter,"Veritaserum. Three drops of this and you-know-who himself will spill his darkest secrets. The use of this on a student is regrettably forbidden, however should you ever steal from my personal stores again, my hand might just slip over your morning pumpkin juice."
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Harry Potter,Severus Snape,I haven't stolen anything.
Harry Potter and the Gobelt of Fire,Dreams and Suspicions,Severus Snape,Harry Potter,"Don't lie to me. Gilliweed might be innocuous, but boomslang skin? lacewing flies? You and your friends are brewing polyjuice potion and believe me I'm going to find out why."
Harry Potter and the Gobelt of Fire,The Third Task,Albus Dumbledore,All,Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...
Harry Potter and the Gobelt of Fire,The Third Task,Albus Dumbledore,All,and Mr Potter tied for first position they will be the first to enter the maze. Followed by Mr Krum...
Harry Potter and the Gobelt of Fire,The Third Task,Albus Dumbledore,All,"The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round."
Harry Potter and the Gobelt of Fire,The Third Task,Albus Dumbledore,All,"In the maze you'll find not dragons or creatures of the deep. Instead you'll face something more challenging. You see, people change in the maze. Oh find the cup if you can, but be very weary you could just lose yourselves along the way."
Harry Potter and the Gobelt of Fire,The Third Task,Alastor Moody,All,Champions! Prepare yourselves.
Harry Potter and the Gobelt of Fire,The Third Task,Albus Dumbledore,All,On the count of three... ONE...
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Fleur Delacour,Fleur? Fleur!
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,Get down!
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Cedric Diggory,No stop! He's bewitched Cedric.
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,Get off me!
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Cedric Diggory,He's bewitched!
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,Harry! Harry!
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,You know for a moment there I thought you were gonna let it get me.
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Cedric Diggory,For a moment so did I.
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,Some game huh?
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Cedric Diggory,Some game.
Harry Potter and the Gobelt of Fire,The Third Task,Cedric Diggory,Harry Potter,"Go. Take it, you saved me!"
Harry Potter and the Gobelt of Fire,The Third Task,Harry Potter,Cedric Diggory,"Together, on three. One, two, three!"
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,You ok?
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Harry Potter,Cedric Diggory,"Yeah, you?"
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,Where are we?
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Harry Potter,Cedric Diggory,I've been here before.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,It's a portkey. Harry the cup is a portkey.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Harry Potter,Cedric Diggory,"I've been here before in a dream. Cedric, we have to get back to the cup? Now!"
